kind	name	official_domain	seed_urls	no_public_hint	allowed_domains
recruiter	Alexander Hughes	alexanderhughes.com	https://www.alexanderhughes.com/	1	
recruiter	AP Executive	ap-executive.com	https://www.ap-executive.com/en-nl	0	
recruiter	ARC	arcpeople.nl	https://arcpeople.nl/professionals/	0	
recruiter	Barclay Simpson	barclaysimpson.com	https://www.barclaysimpson.com/job-search/	0	
recruiter	Black Swan Group	blackswangroup.com	https://www.blackswangroup.com/bsg-jobs/	0	
recruiter	Blooming Hill	bloominghill.nl	https://bloominghill.nl/	1	
recruiter	Boer & Croon	boercroon.nl	https://boercroon.nl/	0	
recruiter	Brightstone	brightstonegroup.nl	https://brightstonegroup.nl/vacatures/	0	
recruiter	Brunel	brunel.net	https://www.brunel.net/nl-nl/vacatures;https://www.brunel.net/en/jobs	0	
recruiter	Care Professionals	careprofessionals.nl	https://careprofessionals.nl/vacatures	0	
recruiter	Compliance People	compliancepeople.nl	https://www.compliancepeople.nl/vacatures/;https://www.compliancepeople.nl/	0	compliance-people.com
recruiter	Confius	confius.nl	https://confius.nl/	1	
recruiter	Corbulo	corbulo.net	https://www.corbulo.net/vacature/;https://www.corbulo.net/en/vacancies/	0	
recruiter	Cowen Partners	cowenpartners.com	https://cowenpartners.com/seeking-a-new-job/	1	
recruiter	CPI	cpi.nl	https://www.cpi.nl/	0	
recruiter	De Vroed Ten Thierry	devroedtenthierry.nl	https://www.devroedtenthierry.nl/	1	
recruiter	DPA	dpa.nl	https://www.dpa.nl/vacatures	0	
recruiter	Ebbinge	ebbinge.nl	https://www.ebbinge.nl/posities	0	
recruiter	Egon Zehnder	egonzehnder.com	https://www.egonzehnder.com/	1	
recruiter	Ferocia	ferocia.nl	https://www.ferocia.nl/jobboard	0	
recruiter	Financial Assets	financialassets.nl	https://financialassets.nl/	1	
recruiter	Global FinTech Talent	globalfintechtalent.com	https://www.globalfintechtalent.com/fintechjobs;https://www.globalfintechtalent.com/	0	
recruiter	Finatal	finatal.com	https://finatal.com/jobs/;https://finatal.com/careers/	0	
recruiter	Greenberg Nielsen	greenbergnielsen.nl	https://greenbergnielsen.nl/vacatures/	0	
recruiter	Hanami International	hanamiinternational.com	https://hanamiinternational.com/jobs/	0	
recruiter	Hunter Bond	hunterbond.com	https://www.hunterbond.com/job-search/	0	
recruiter	Korn Ferry	kornferry.com	https://jobs.candidate.kornferry.com/jobs/	0	
recruiter	Lime Search	limesearch.nl	https://www.limesearch.nl/open-finance-posities;https://www.limesearch.nl/	0	
recruiter	Matchd	matchd.nl	https://matchd.nl/vacatures/	0	
recruiter	Michael Page	michaelpage.nl	https://www.michaelpage.nl/jobs/risk-compliance-audit;https://www.michaelpage.nl/jobs	0	
recruiter	Morgan McKinley	morganmckinley.com	https://www.morganmckinley.com/jobs	0	
recruiter	Odger/Odgers	odgers.com	https://www.odgers.com/	1	
recruiter	Oliver James	oliverjames.com	https://www.oliverjames.com/jobs	0	
recruiter	PaymentGenes	paymentgenes.com	https://www.paymentgenes.com/fintech-jobs;https://www.paymentgenes.com/recruitment	0	
recruiter	Amrop Executive Search	amrop.com	https://www.amrop.com/nl/nl/;https://www.amrop.com/nl/nl/wat-we-doen/executive-search/	1	
recruiter	Risk Talent Associates	risktalent.com	http://www.risktalent.com/;https://www.risktalent.com/	1	
recruiter	Robert Half NL	roberthalf.com	https://www.roberthalf.com/nl/nl/vacatures	0	
recruiter	Robert Walters Interim	robertwalters.nl	https://www.robertwalters.nl/onze-diensten/interim-recruitment/interim-opdrachten.html	0	
recruiter	Russell Reynolds Associates	russellreynolds.com	https://www.russellreynolds.com/	1	
recruiter	Selby Jennings	selbyjennings.com	https://www.selbyjennings.com/en-nl/jobs/lt-amsterdam;https://www.selbyjennings.com/en-nl/jobs/s-compliance/lt-amsterdam;https://www.selbyjennings.com/en-nl/jobs	0	
recruiter	Spencer Stuart	spencerstuart.com	https://www.spencerstuart.com/	1	
recruiter	Staatsen	staatsen.nl	https://www.staatsen.nl/	1	
recruiter	Taylor Root	taylorroot.com	https://www.taylorroot.com/jobs/	0	
recruiter	Ten	ten.nl	https://ten.nl/	1	
